datetime,sightings
01/2008,475
02/2008,372
03/2008,340
04/2008,444
05/2008,345
06/2008,485
07/2008,577
08/2008,505
09/2008,385
10/2008,536
11/2008,458
12/2008,349
01/2009,498
02/2009,397
03/2009,341
04/2009,318
05/2009,359
06/2009,391
07/2009,617
08/2009,504
09/2009,601
10/2009,324
11/2009,324
12/2009,294
01/2010,294
02/2010,190
03/2010,261
04/2010,296
05/2010,334
06/2010,391
07/2010,851
08/2010,530
09/2010,453
10/2010,476
11/2010,366
12/2010,307
01/2011,329
02/2011,274
03/2011,335
04/2011,318
05/2011,321
06/2011,407
07/2011,766
08/2011,645
09/2011,561
10/2011,642
11/2011,450
12/2011,534
01/2012,587
02/2012,397
03/2012,536
04/2012,502
05/2012,520
06/2012,765
07/2012,941
08/2012,906
09/2012,777
10/2012,678
11/2012,778
12/2012,675
01/2013,399
02/2013,284
03/2013,398
04/2013,430
05/2013,536
06/2013,646
07/2013,985
08/2013,921
09/2013,794
10/2013,796
11/2013,807
12/2013,767
01/2014,717
02/2014,552
03/2014,518
04/2014,667
05/2014,653
06/2014,780
07/2014,1096
08/2014,924
09/2014,834
10/2014,795
11/2014,546
12/2014,524
01/2015,538
02/2015,343
03/2015,480
04/2015,454
05/2015,465
06/2015,485
07/2015,735
08/2015,627
09/2015,729
10/2015,646
11/2015,898
12/2015,435
01/2016,418
02/2016,432
03/2016,410
04/2016,384
05/2016,379
06/2016,425
07/2016,677
08/2016,523
09/2016,588
10/2016,481
11/2016,488
12/2016,347
01/2017,322
02/2017,414
03/2017,336
04/2017,400
05/2017,355
06/2017,391
07/2017,479
08/2017,277
